keyword,title,price,raw_price,rating,reviews,platform,position,delivery,link,thumbnail
Smart Phone,Vivo Y31 5G Mobile Phone,27999.0,"₹27,999",4.6,89.0,Croma,1,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQCWMPWTArLgMgPk7t4uz8h2WDLKB3cklSkYi54c0LfzC9E-xJTRw6naboMXjOMtqr48L5RNfH_uDZQNgdJxD1SLzmvgpJOGKXlHK28MDISnlhedNZeMjqNpw
Smart Phone,OnePlus N6 5G Smartphone,26999.0,"₹26,999",,,Amazon.in,2,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSdyMzMI4UbYynXWGVHTbJ-Uqp2wuSBtG6C1DVHHn5JHXaXpI-Vpn2hMvzKmwjc1hCebSw96gr4rKNmCdPMLRw2VwqhAhhYjIVHZuutSQmq5P9CIexv5_bT
Smart Phone,Apple iPhone 17 Pro,134900.0,"₹1,34,900",4.6,11000.0,Apple,3,Free delivery,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSs5Ln82tcK-xB1HdbuWillg3agWICaCWvS-yv10PAQ7COun6y2wLie1ClTfVwL0N2KZyie5_ySOhgFcBxD850jBp4RckudhKUl_ODJm5R9h1rNYca8YzV667aG
Smart Phone,Samsung Galaxy S25 Ultra 5G,129999.0,"₹1,29,999",4.8,1.1,Samsung.com,4,Free delivery by Sat,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSzD2AWv0dGo6sA3nuwBII6YMwtPTGh-lWKTZRA9XWuEHk9LyTOtFBj6qpaiGwdBNipUAk_xB0K4-PCxuShUiFC7JU79QJW
Smart Phone,Google Pixel 7a 5G Smartphone,28499.0,"₹28,499",4.8,80.0,Amazon.in,5,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTKl_NObFT9Ei76P-lbi89DLRFEx5JsC_1dgbwS3PFx44hGM3-dOUf32kh0lisF_fVYbTnaK9x71VPndJYuAmIml7wsabvnB3bigiKhV7VkI7n6zIoWjgR4CQ
Smart Phone,Redmi 14c 5g,10894.0,"₹10,894",4.7,324.0,Tata Neu,6,Free delivery by Sat,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTSKmpyDA1H7QU_riXZpHP2ByQ9F5gmLukBzRCVuubhBoXVUazJDOR-5zffJdSbYQif-3L2QXIfmns7V8lLPx2EKf_sBgD6-JJwJf-DsVUbIu1-t-46D5vN4Q
Smart Phone,Motorola G06 Power 4GB 64GB Tapestry Mobile Phone,12990.0,"₹12,990",4.4,264.0,Amazon.in,7,Free delivery,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSuF9AVWC2_1tGWp8k5L0TSr9Frm6dB9NER9wGlpl2pbNOFjaawxxqY95jJmMWgQyM2rGfSknVTUKQmE8-VC9FwSSE53Kaoo6teYTOEKaEv
Smart Phone,Google Pixel 10 5G,74999.0,"₹74,999",5.0,3.0,Google Store,8,Free delivery,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQLxyXnnu00jVXfNgjFQNK0xkZqT1Wx9LqvXJPskzSEWyk2c8ieaoD7S5hMvb-UrVlFNhr5lj0fhMyMcNEEdTOns_-FJwbA
Smart Phone,Nothing Phone,31999.0,"₹31,999",4.8,234.0,cainid.in,9,Free delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRxXus4Kp7oc7CrL07kQVIXETxwwbkk6oBb8C4Dgk5yxH46eKjq6KP1GV8oY-nIMVcJy-Ov90EUR-6CuyGxF9xOmbFLcIpSrOgdIPkthqAAfi824HhI5je5
Smart Phone,Tecno POP X 5G Fast Charger,15999.0,"₹15,999",,,Amazon.in,10,Free delivery,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSiEALz7ITFtD1VlzNboZDS2q4toQ0buvR3OLogSYSemUF1VfwwYv7fT1VzhPCcjGEdFD7os4auCvBkVlOyMqrB8vFK153x_zCzBYqjirhGcnMUlnw4RasyjMc
Smart Phone,Samsung Galaxy A17 5G Smartphone,18999.0,"₹18,999",4.4,11000.0,Samsung.com,11,Free delivery by Sat,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQMQ5I02ufqptz2sk80IQ0Ye7KbGsmwSOJPQF8yxGYcYKNY1A0XbeoeGvXZhzBYwYrh3Z0rloiwHh7bzuUJlsHBfXCiLgaT
Smart Phone,Realme 16 Pro 5G,42999.0,"₹42,999",4.9,767.0,Croma,12,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTPZiemUV6nTw4ujXwz0sSvGi6hOjgpO2xSy1ABfQQQ3PFDR5GuSN7s2hn6J1s9Q3jWftM6KfWMQOO184-bTYdThaNwD84aLewecoaQa9MgQ7jilTAQc9LM
Smart Phone,iQOO Z10 Lite 5G,16999.0,"₹16,999",4.8,57.0,Amazon.in,13,Free delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRi306__3i9D89MXNENvNFbA_ixQ4SpFMWs0gqYzakeYYeNe8JTlTEwGDT0hgFzdtd2-z9R0k4qji7jc5-tYxOUQYna0C-zprsXVZM1OI1SG5-QRTCswP81_A
Smart Phone,Redmi 15 5G,18699.0,"₹18,699",,,Zepto,14,Free next-day delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQXTg6Zq-ey8RAsg0G104nRcSbBQ8mqVwf5KF1DPEP8zgWFxeazcD1hcx1SeXvmOzl0S93NxE-oaebpscgiroChBWB_-yo-XTBnclI8wxu2Jn0dkZVoOHEONA
Smart Phone,Apple iPhone 17 256GB Black,82900.0,"₹82,900",4.8,53.0,Apple,15,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRJTBnagPOC2jVnvEpx5L2KkhGbFklu2DLNjqyvfs_m6VxGU-Z1uTS2GBF1x-_eJ4m5NG27fnhq5m4X0X6ZT13wiKaaE5pUy1HST_s7LkkkSkZsSS6TeLtDPzU
Smart Phone,LAVA Bold N2 Lite Android Mobile,8999.0,"₹8,999",,,Amazon.in,16,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSNId8_KKle9wafLWY3Q2rLzAg8glQnr65fcoujGrWzEF6obHo_9e6Q7Z0Wl2sDgV6oNdgt1J8AlTrLl_KRyphFTARwcPFe2aV-Y9ZINZpQX-ZUeVFv7yBQ
Smart Phone,Redmi Note 15 SE 5G Smartphone,23999.0,"₹23,999",,,Mi.com,17,Free delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRe6J_Vwv6YlAAFTJK9tT5OCUHLpKYwnSoVNFC9D3rPRtt7ktAPWb15NnW7Gl7Q-_3MH5qmv3xTBe-82HBMWP0OPIt-tiX-Ns1dmTDN_Drssx2zpymkOf3HAw
Smart Phone,Nothing Phone Pro 5G,49999.0,"₹49,999",4.8,128.0,Reliance Digital,18,Free delivery by Sat,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTb8FPcBIWsAHGtNglccWB7dUQkhMhUhHETWTw2HHlwKILNLsYpr3ZHxo8Lh7Sv1nokxqIcjcTz7lwLBzEdmt1CRlJ1Rf9ba3sZhVUpglcIb0nBbkmNk79srw
Smart Phone,Oppo Reno14 5G,39900.0,"₹39,900",5.0,15.0,Amazon.in,19,Free delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSuzyVJ2fvnmQALmb03T8_-2nWrgB-UZUzHyRBCABEqExSp0wh54MCUj-2IttqbI4IAp043dIm9BkfWI2Go_NX0E36wbx7Klj5o6ayAIUZqi8w2lCVEJXPIQQ
Smart Phone,Samsung Galaxy A06 5G,15499.0,"₹15,499",4.8,7400.0,Samsung.com,20,Free delivery by Sat,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRZkyFI-qGjoSXlqAJ_p4oUMMljmDrvs7mbfzYo0nXwB3aBynEGG_Tush95VyhpMRrPsSofrc3tdo__x1WQS4GbGoP7Z6UpoA
Smart Phone,Apple iPhone 16,69900.0,"₹69,900",4.5,12000.0,Apple,21,Free delivery,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRHFrcv-tueBOzHlzuLm_lqZQT_TwI4vT9P65_9hnAe_wPaJ0hLyx9th7LNWL_9qf69EZTZ6QbPQ9Wh5gMomF8hPGPwNUazgdwY5DQXxWT3MwQpVTe3KXrO3uhk
Smart Phone,Realme Narzo 80 Lite Battery,12999.0,"₹12,999",,,Amazon.in,22,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTEn3Rr3lUKYPTyCoaGSIl2nR4PqnnVRail2C-WfbOcBGCmE6mdUVddU6-buby6Y7Yhx3_-nVcxM70M58OTNwUWmdDI8bJzyBk--AkDTEJrPgQS81WOKRZ5FQ
Smart Phone,Google Pixel 10a 5G,55999.0,"₹55,999",4.6,1300.0,Google Store,23,Free delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSZtoR8RVCqemIrtGqS6a8MFGnaMoteIG1UF_3ZH6dktZX_zQm0JYzYxYTUg62SuocK-rIuCvphnL-oHJ4x2qjNo0H9epSzVd0Zzh2Mmva6FFz0OW9iPDTD
Smart Phone,Nothing Phone 4b 5G,34999.0,"₹34,999",,,Vijay Sales,24,Free next-day delivery,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSYOYIjHT-xVLFzKVj_GM1AEDdDcitJm_j8SY0I2mQJLUah_2ztM0AmmrZvVvhRRXTxbvmDdzKf9HJxaC-SnctnpTTpHEhLZ_PmmflrpGUsJH_MXez2zDaC3A
Smart Phone,Google Pixel 9a 5G Smartphone,48650.0,"₹48,650",5.0,3.0,Amazon.in,25,Free delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRH9O9hEpaw_m5PpKCMS4KHtf0q3v6dxWAfZ8kNeUxHi0MM_0n_iEOfgP9GDzGXICWkLHnn1M6_5fGW23NxBf_21_MsXphiMmUODGpEErWyu5o_t0-LZmTYpw
Smart Phone,Vivo Y21 5G Mobile Phone,23999.0,"₹23,999",4.9,161.0,Darling Retail,26,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQG5QOlY9db5xTM1fZmlML_sP7sBsUlVLm2e9tbxWLnjhfkqUgMMqljj4BJRedqbBUailpNnzcc_p2RiQiRjOd14KDo70WX7JiyfqlzdI1e1y6q6L4aexu2
Smart Phone,Samsung Galaxy A27 5G Smartphone,31999.0,"₹31,999",4.7,1100.0,Samsung.com,27,Free delivery by Sat,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRbldJvkcMUW6KwZnz-gmtzaYQdW1FYYFI0hoFP40Oo4kwScfLXjQSp_kZvXu5oCozPsfxu5u-1C-hHC7yJCIjc0S0p5EoR
Smart Phone,Motorola G06 Power 64GB Pantone Laurel Oak,13749.0,"₹13,749",5.0,2.0,Amazon.in,28,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSTib0e8MafLoSOKgV44ppDavuk2yryjBE9czD0JSca-TouMjVvyO3aCPuH61uCjzk-0HtTnmrMIRdatlJXrER494hPVFeZe8L_uH00mdfW
Smart Phone,Samsung Galaxy M36 5G Smartphone,21999.0,"₹21,999",3.6,45.0,Reliance Digital,29,Free delivery by Sat,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRue2d1a1Ou8f00hr3UuCdjga8MKJl8oKu4Gr3rhT_XdYCRMHsOIPg6tLHAk37Ij63rEeTIIxoPOwCZpTGfr_Xmo5tHQazgyyNkMQXiATmDK7qSW7ONNx8N
Smart Phone,Redmi A7 Sky Blue 3GB RAM 64GB Storage,12499.0,"₹12,499",,,Amazon.in,30,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTwcR9imgrw_1TDnldup8kEnc4sDDimAHaSryrLANO5vRZB1iFl43tKP5wPjtIZIXj-2VxaOjw3FxYgMviAC2Mm4K805UWRQf6xfG4ZE_85EijNDmArIIyn
Smart Phone,Realme 15x 5G,25999.0,"₹25,999",4.0,1.0,Croma,31,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQmisVr-hRPvo-shKEDeEYtH5ys5YEnfK92Xy2GE1iRBkTcAaRvCXsFF425OnEx4z_oAhMfXa4KFU2prpSrP-74G97iTmpCorLA0WQeZAfDYK_ugKxktjna
Smart Phone,Samsung Galaxy M17e 5G Smartphone,15499.0,"₹15,499",4.2,15.0,Samsung.com,32,Free delivery by Sat,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTJQlec-CgtzYztvSBGrPQIffOKlFOncFMJDTz4-UQk4bSgLvtPNuKbCsH-uQvjcBCf05SgTNhhTR3s0FKReSdPb0BU7cSsQw
Smart Phone,"PEACE NOVA 16 Pro 4G Smartphone with 6.56-inch Display, Android 14, 4GB RAM, 64GB Storage, 20MP Camera, 5000mAh Battery (Silver)",9999.0,"₹9,999",,,amazon.in,33,,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSQhehieE_gJKxm8ol_N-n-ZaJBL6cTC3RxfBqf0WjgT0Aoc0VP-Bi6J3ymu3aWHEefsX3FU7ZwDs8BXKT01jzq9Fyej2PRw7igN0ExQ1uB-u34CdkeZzQR
Smart Phone,Nothing Phone Lite 5G,27999.0,"₹27,999",4.0,2.0,Vijay Sales,34,Free next-day delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSWMl3hua62ZMfCjEdnk-tjP3PMFrwlUbNYuz5uwtCgsvpn-y2gITDQNVveu4iNjXgbAKtENs_eJhG2ninOHkX78sgKCQlJvQkOWj4bTNnCaU7aE63VB3kx
Smart Phone,Motorola G57 Power 128GB Advanced Smartphone,20790.0,"₹20,790",,,Amazon.in,35,Free delivery,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRz1r13QcDtZj7XQED0mLoVpRVq6pQktPvEcCvPTdZcwaJOI6k54NCT5EJaxuT--6jjskkGBXFtbjWi0uAzGqWqJZoQw9tg8zRcs1r9WriHk6tNe_Q0rI0-GA
Smart Phone,Oppo Reno16 5G Mobile Phone,66999.0,"₹66,999",,,Reliance Digital,36,Free delivery by Sat,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSBho_MPxOcByoCb7hFzY4sPE9bv5CzwXxreMjl52xuct6p4QaTNf-ob2GJNTL90u6eOC_rNI9FtzMu94tFZzB9-vEBZPG3rwOlVxGGFbix5tBk7hq8Ws8y
Smart Phone,Redmi 15C 5G Battery,20499.0,"₹20,499",4.4,34.0,Mi.com,37,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR2B4ICRZp5yN5NguSgIkCdj45Jnj6iGqDXSPpwPG16D9CnhYyCLs6Z9qplqGbNmGM1ACprC0FywdwoJRuKQHnPT_M2mZLrKG215JtAqOrrodJy6ycyHQtKEg
Smart Phone,Realme Narzo 80 Lite 4G Mobile Phone,12999.0,"₹12,999",,,Amazon.in,38,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRmhjI-sUe4wadKWy9Ay-NTnz191S-NluqJT1_qhSQKlXCRJ8_FhVASNbJzk5ZLL0MF6BdgLlxDBNSSgLaQDX9sZtL9UbiT4ZQE4sifXvlH_iHWb9CoJ8te
Smart Phone,Samsung Galaxy S25 5G,63000.0,"₹63,000",4.7,58000.0,Digihaat,39,Free delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTGDJYQM9r4pgE1go48O7tdyDnGkWjvjaexZ5QK0GCGyqi2gK4dyFmtr95JX096NVvNUqHSPNjroWnv6hYWEaDKEstz1sFFuQXAmeCVF1egOTJfL_vruSo3Pw
Smart Phone,OnePlus 13s 5G,54499.0,"₹54,499",4.5,42.0,addmecart,40,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcS9_vYKgW_08plmJaDBea6TLVRe3U1gun461BPTZ1Ukw5-Z8ywIAtowTdAQp5Sggku55MmEp2-Gez9kbq1XS-H6RvYhlbyiMw
Smart Phone,Samsung Galaxy A17 5G Smartphone,18999.0,"₹18,999",4.4,11000.0,Samsung.com,1,Free delivery by Sat,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQMQ5I02ufqptz2sk80IQ0Ye7KbGsmwSOJPQF8yxGYcYKNY1A0XbeoeGvXZhzBYwYrh3Z0rloiwHh7bzuUJlsHBfXCiLgaT
Smart Phone,OnePlus N6 5G Smartphone,26999.0,"₹26,999",,,Amazon.in,2,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSdyMzMI4UbYynXWGVHTbJ-Uqp2wuSBtG6C1DVHHn5JHXaXpI-Vpn2hMvzKmwjc1hCebSw96gr4rKNmCdPMLRw2VwqhAhhYjIVHZuutSQmq5P9CIexv5_bT
Smart Phone,Google Pixel 10 5G,74999.0,"₹74,999",5.0,3.0,Google Store,3,Free delivery,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQLxyXnnu00jVXfNgjFQNK0xkZqT1Wx9LqvXJPskzSEWyk2c8ieaoD7S5hMvb-UrVlFNhr5lj0fhMyMcNEEdTOns_-FJwbA
Smart Phone,Vivo Y31 5G Mobile Phone,27999.0,"₹27,999",4.6,89.0,Croma,4,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQCWMPWTArLgMgPk7t4uz8h2WDLKB3cklSkYi54c0LfzC9E-xJTRw6naboMXjOMtqr48L5RNfH_uDZQNgdJxD1SLzmvgpJOGKXlHK28MDISnlhedNZeMjqNpw
Smart Phone,Apple iPhone 17 Pro,134900.0,"₹1,34,900",4.6,11000.0,Apple,5,Free delivery,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSs5Ln82tcK-xB1HdbuWillg3agWICaCWvS-yv10PAQ7COun6y2wLie1ClTfVwL0N2KZyie5_ySOhgFcBxD850jBp4RckudhKUl_ODJm5R9h1rNYca8YzV667aG
Smart Phone,Motorola G06 Power 4GB 64GB Tapestry Mobile Phone,12990.0,"₹12,990",4.4,264.0,Amazon.in,6,Free delivery,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSuF9AVWC2_1tGWp8k5L0TSr9Frm6dB9NER9wGlpl2pbNOFjaawxxqY95jJmMWgQyM2rGfSknVTUKQmE8-VC9FwSSE53Kaoo6teYTOEKaEv
Smart Phone,Samsung Galaxy A27 5G Smartphone,31999.0,"₹31,999",4.7,1100.0,Samsung.com,7,Free delivery by Sat,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRbldJvkcMUW6KwZnz-gmtzaYQdW1FYYFI0hoFP40Oo4kwScfLXjQSp_kZvXu5oCozPsfxu5u-1C-hHC7yJCIjc0S0p5EoR
Smart Phone,Redmi Note 15 SE 5G Smartphone,23999.0,"₹23,999",,,Mi.com,8,Free delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRe6J_Vwv6YlAAFTJK9tT5OCUHLpKYwnSoVNFC9D3rPRtt7ktAPWb15NnW7Gl7Q-_3MH5qmv3xTBe-82HBMWP0OPIt-tiX-Ns1dmTDN_Drssx2zpymkOf3HAw
Smart Phone,Nothing Phone,31999.0,"₹31,999",4.8,234.0,cainid.in,9,Free delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRxXus4Kp7oc7CrL07kQVIXETxwwbkk6oBb8C4Dgk5yxH46eKjq6KP1GV8oY-nIMVcJy-Ov90EUR-6CuyGxF9xOmbFLcIpSrOgdIPkthqAAfi824HhI5je5
Smart Phone,iQOO Z10 Lite 5G,16999.0,"₹16,999",4.8,57.0,Amazon.in,10,Free delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRi306__3i9D89MXNENvNFbA_ixQ4SpFMWs0gqYzakeYYeNe8JTlTEwGDT0hgFzdtd2-z9R0k4qji7jc5-tYxOUQYna0C-zprsXVZM1OI1SG5-QRTCswP81_A
Smart Phone,Realme 15x 5G,25999.0,"₹25,999",4.0,1.0,Croma,11,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQmisVr-hRPvo-shKEDeEYtH5ys5YEnfK92Xy2GE1iRBkTcAaRvCXsFF425OnEx4z_oAhMfXa4KFU2prpSrP-74G97iTmpCorLA0WQeZAfDYK_ugKxktjna
Smart Phone,Apple iPhone 16,69900.0,"₹69,900",4.5,12000.0,Apple,12,Free delivery,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRHFrcv-tueBOzHlzuLm_lqZQT_TwI4vT9P65_9hnAe_wPaJ0hLyx9th7LNWL_9qf69EZTZ6QbPQ9Wh5gMomF8hPGPwNUazgdwY5DQXxWT3MwQpVTe3KXrO3uhk
Smart Phone,Tecno POP X 5G Fast Charger,15999.0,"₹15,999",,,Amazon.in,13,Free delivery,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSiEALz7ITFtD1VlzNboZDS2q4toQ0buvR3OLogSYSemUF1VfwwYv7fT1VzhPCcjGEdFD7os4auCvBkVlOyMqrB8vFK153x_zCzBYqjirhGcnMUlnw4RasyjMc
Smart Phone,Samsung Galaxy S25 Ultra 5G,129999.0,"₹1,29,999",4.8,1.1,Samsung.com,14,Free delivery by Sat,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSzD2AWv0dGo6sA3nuwBII6YMwtPTGh-lWKTZRA9XWuEHk9LyTOtFBj6qpaiGwdBNipUAk_xB0K4-PCxuShUiFC7JU79QJW
Smart Phone,Oppo Reno16 5G Mobile Phone,72999.0,"₹72,999",,,Reliance Digital,15,Free delivery by Sat,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS-GRo_Kx8OvpHauBSnsqIeCazJ4UkiHQp7j_eSv6GsqbA1xT30Kly4q1qAC5HEufNv_5cXaS0abaGar1Qah1JZijEnk7cFNySbKUJt4swNeOoCVXF1MhdtMw
Smart Phone,LAVA Bold N2 Lite Android Mobile,8999.0,"₹8,999",,,Amazon.in,16,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSNId8_KKle9wafLWY3Q2rLzAg8glQnr65fcoujGrWzEF6obHo_9e6Q7Z0Wl2sDgV6oNdgt1J8AlTrLl_KRyphFTARwcPFe2aV-Y9ZINZpQX-ZUeVFv7yBQ
Smart Phone,Vivo Y21 5G Mobile Phone,23999.0,"₹23,999",4.9,161.0,Darling Retail,17,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQG5QOlY9db5xTM1fZmlML_sP7sBsUlVLm2e9tbxWLnjhfkqUgMMqljj4BJRedqbBUailpNnzcc_p2RiQiRjOd14KDo70WX7JiyfqlzdI1e1y6q6L4aexu2
Smart Phone,Redmi 15 5G,18699.0,"₹18,699",,,Zepto,18,Free next-day delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQXTg6Zq-ey8RAsg0G104nRcSbBQ8mqVwf5KF1DPEP8zgWFxeazcD1hcx1SeXvmOzl0S93NxE-oaebpscgiroChBWB_-yo-XTBnclI8wxu2Jn0dkZVoOHEONA
Smart Phone,Google Pixel 10a 5G,55999.0,"₹55,999",4.6,1300.0,Google Store,19,Free delivery,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSZtoR8RVCqemIrtGqS6a8MFGnaMoteIG1UF_3ZH6dktZX_zQm0JYzYxYTUg62SuocK-rIuCvphnL-oHJ4x2qjNo0H9epSzVd0Zzh2Mmva6FFz0OW9iPDTD
Smart Phone,Realme Narzo 100 Lite 5g,19999.0,"₹19,999",4.5,2.0,Amazon.in,20,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTMJe2xY99Y7NbR8QXN5AiQJR4CtvNZpPQwZpObqeA66Nv2DAR863BH70PkdAOJ0xXQCSTo39vf19ADcfXIMaZXi4reKD7xyd7Q3QJwfQoOcG2slhYnN_D3
Smart Phone,Samsung Galaxy A06 5G,15499.0,"₹15,499",4.8,7400.0,Samsung.com,21,Free delivery by Sat,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRZkyFI-qGjoSXlqAJ_p4oUMMljmDrvs7mbfzYo0nXwB3aBynEGG_Tush95VyhpMRrPsSofrc3tdo__x1WQS4GbGoP7Z6UpoA
Smart Phone,Apple iPhone 17 256GB Black,82900.0,"₹82,900",4.8,53.0,Apple,22,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRJTBnagPOC2jVnvEpx5L2KkhGbFklu2DLNjqyvfs_m6VxGU-Z1uTS2GBF1x-_eJ4m5NG27fnhq5m4X0X6ZT13wiKaaE5pUy1HST_s7LkkkSkZsSS6TeLtDPzU
Smart Phone,Redmi A7 Sky Blue 3GB RAM 64GB Storage,12499.0,"₹12,499",,,Amazon.in,23,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTwcR9imgrw_1TDnldup8kEnc4sDDimAHaSryrLANO5vRZB1iFl43tKP5wPjtIZIXj-2VxaOjw3FxYgMviAC2Mm4K805UWRQf6xfG4ZE_85EijNDmArIIyn
Smart Phone,Samsung Galaxy M36 5G Smartphone,21999.0,"₹21,999",3.6,45.0,Reliance Digital,24,Free delivery by Sat,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRue2d1a1Ou8f00hr3UuCdjga8MKJl8oKu4Gr3rhT_XdYCRMHsOIPg6tLHAk37Ij63rEeTIIxoPOwCZpTGfr_Xmo5tHQazgyyNkMQXiATmDK7qSW7ONNx8N
Smart Phone,OnePlus 13s 5G,54499.0,"₹54,499",4.5,42.0,addmecart,25,Free delivery,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcS9_vYKgW_08plmJaDBea6TLVRe3U1gun461BPTZ1Ukw5-Z8ywIAtowTdAQp5Sggku55MmEp2-Gez9kbq1XS-H6RvYhlbyiMw
Smart Phone,Motorola G57 Power 128GB Advanced Smartphone,20790.0,"₹20,790",,,Amazon.in,26,Free delivery,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRz1r13QcDtZj7XQED0mLoVpRVq6pQktPvEcCvPTdZcwaJOI6k54NCT5EJaxuT--6jjskkGBXFtbjWi0uAzGqWqJZoQw9tg8zRcs1r9WriHk6tNe_Q0rI0-GA
Smart Phone,Realme 16 Pro 5G,39999.0,"₹39,999",4.9,767.0,Croma,27,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTPZiemUV6nTw4ujXwz0sSvGi6hOjgpO2xSy1ABfQQQ3PFDR5GuSN7s2hn6J1s9Q3jWftM6KfWMQOO184-bTYdThaNwD84aLewecoaQa9MgQ7jilTAQc9LM
Smart Phone,Samsung Galaxy A37 5G Smartphone,41949.0,"₹41,949",4.8,3500.0,Mahajan Electronics,28,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTAqsWbBavU3W5qsXZu1p0Sf-L8Cz8C1SM5cY6XJAm2w0lDb9FIqK9pEdGtFyIezua79k0FId8Up8XhxfKY7SeHaTxgL5UxVArckDv7VgU9PJ8NuP2qVnu9
